id,house,electoral_name,civil_name,party,state,twitter,facebook
204554,câmara,ABÍLIO SANTANA,JOSE ABILIO SILVA DE SANTANA,PR,BA,AbilioSantana_,https://www.facebook.com/pastorabiliosantana/
204521,câmara,ABOU ANNI,PAULO SERGIO ABOU ANNI,PSL,SP,abouannipv,NA
204379,câmara,ACÁCIO FAVACHO,ACÁCIO DA SILVA FAVACHO NETO,PROS,AP,FavachoAcacio,NA
204560,câmara,ADOLFO VIANA,ADOLFO VIANA DE CASTRO NETO,PSDB,BA,AdolfoViana_,NA
204528,câmara,ADRIANA VENTURA,ADRIANA MIGUEL VENTURA,NOVO,SP,adrianasounovo,NA
121948,câmara,ADRIANO DO BALDY,ADRIANO ANTÔNIO AVELAR,PP,GO,AdrianoBaldy,NA
74646,câmara,AÉCIO NEVES,AÉCIO NEVES DA CUNHA,PSDB,MG,AecioNeves,NA
160508,câmara,AFONSO FLORENCE,AFONSO BANDEIRA FLORENCE,PT,BA,AfonsoFlorence‏,https://www.facebook.com/afonsoflorence13
136811,câmara,AFONSO HAMM,JOSÉ ALFONSO EBERT HAMM,PP,RS,depafonsohamm,https://www.facebook.com/depafonsohamm
178835,câmara,AFONSO MOTTA,AFONSO ANTUNES DA MOTTA,PDT,RS,afonso_motta,https://www.facebook.com/AfonsoMottaOpina
160527,câmara,AGUINALDO RIBEIRO,AGUINALDO VELLOSO BORGES RIBEIRO,PP,PB,aguinaldo1111,https://www.facebook.com/Aguinaldo-Ribeiro-139579162731192
204495,câmara,AIRTON FALEIRO,AIRTON LUIZ FALEIRO,PT,PA,FALEIRO13,NA
204549,câmara,AJ ALBUQUERQUE,ANTONIO JOSE AGUIAR ALBUQUERQUE,PP,CE,NA,https://www.facebook.com/antonijose.11
178836,câmara,ALAN RICK,ALAN RICK MIRANDA,DEM,AC,Alan_Rick,https://www.facebook.com/deputadoalanrick
160559,câmara,ALCEU MOREIRA,ALCEU MOREIRA DA SILVA,MDB,RS,Alceu_Moreira,https://www.facebook.com/depalceumoreira
204413,câmara,ALCIDES RODRIGUES,ALCIDES RODRIGUES FILHO,PRP,GO,NA,NA
204545,câmara,ALÊ SILVA,ALESSANDRA DA SILVA,PSL,MG,oficialalesilva,NA
204501,câmara,ALENCAR SANTANA BRAGA,ALENCAR SANTANA BRAGA,PT,SP,AlencarBraga13,NA
160511,câmara,ALESSANDRO MOLON,ALESSANDRO LUCCIOLA MOLON,PSB,RJ,AlessandroMolon,https://www.facebook.com/MolonRJ
178972,câmara,ALEX MANENTE,ALEX SPINELLI MANENTE,PPS,SP,alexmanentepps,https://www.facebook.com/alexmanentesbc
204571,câmara,ALEX SANTANA,ALEX MARCO SANTANA SOUSA,PDT,BA,NA,https://www.facebook.com/depalexsantana/
204544,câmara,ALEXANDRE FROTA,ALEXANDRE FROTA DE ANDRADE,PSL,SP,alefrotabrasil,NA
160545,câmara,ALEXANDRE LEITE,ALEXANDRE LEITE DA SILVA,DEM,SP,lexandreleite,https://www.facebook.com/DeputadoFederalAlexandreLeite
204503,câmara,ALEXANDRE PADILHA,ALEXANDRE ROCHA SANTOS PADILHA,PT,SP,padilhando,NA
178833,câmara,ALEXANDRE SERFIOTIS,ALEXANDRE AUGUSTUS SERFIOTIS,PSD,RJ,AleSerfiotis,https://www.facebook.com/alexandreserfiotis
204516,câmara,ALEXIS FONTEYNE,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,NOVO,SP,AlexisFonteyne,NA
74057,câmara,ALICE PORTUGAL,ALICE MAZZUCO PORTUGAL,PCdoB,BA,Alice_Portugal,https://www.facebook.com/deputadaaliceportugal
178927,câmara,ALIEL MACHADO,ALIEL MACHADO BARK,PSB,PR,alielmachado,https://www.facebook.com/Alielmachadooficial
204353,câmara,ALINE GURGEL,ALINE PARANHOS VARONIL GURGEL,PRB,AP,alinegurgel1000,NA
204400,câmara,ALINE SLEUTJES,ALINE SLEUTJES,PSL,PR,NA,https://www.facebook.com/alinesleutjes/
178937,câmara,ALTINEU CÔRTES,ALTINEU CÔRTES FREITAS COUTINHO,PR,RJ,Altineu,https://www.facebook.com/altineu
178937,câmara,ALTINEU CÔRTES,ALTINEU CÔRTES FREITAS COUTINHO,PR,RJ,Altineu,https://www.facebook.com/altineu
178881,câmara,ALUISIO MENDES,ALUISIO GUIMARAES MENDES FILHO,PODE,MA,AluisioMendesMA,https://www.facebook.com/AluisioMendesOficial
178881,câmara,ALUISIO MENDES,ALUISIO GUIMARAES MENDES FILHO,PODE,MA,AluisioMendesMA,https://www.facebook.com/AluisioMendesOficial
204356,câmara,AMARO NETO,AMARO ROCHA NASCIMENTO NETO,PRB,ES,amaronetotv,NA
178831,câmara,ANDRÉ ABDON,ANDRE DOS SANTOS ABDON,PP,AP,dep_andreabdon‏,https://www.facebook.com/depandreabdon
74471,câmara,ANDRÉ DE PAULA,ANDRÉ CARLOS ALVES DE PAULA FILHO,PSD,PE,NA,https://www.facebook.com/andredepaulaoficial
204423,câmara,ANDRÉ FERREIRA,ANDRÉ FERREIRA RODRIGUES,PSC,PE,NA,https://www.facebook.com/oficial.andreferreira/
133439,câmara,ANDRÉ FIGUEIREDO,ANDRÉ PEIXOTO FIGUEIREDO LIMA,PDT,CE,andrepdt12,https://www.facebook.com/DeputadoAndreFigueiredo
178882,câmara,ANDRÉ FUFUCA,ANDRE LUIZ CARVALHO RIBEIRO,PP,MA,DepAndreFufuca,https://www.facebook.com/andrefufuca
178882,câmara,ANDRÉ FUFUCA,ANDRE LUIZ CARVALHO RIBEIRO,PP,MA,DepAndreFufuca,https://www.facebook.com/andrefufuca
204515,câmara,ANDRÉ JANONES,ANDRE LUIS GASPAR JANONES,AVANTE,MG,AndreJanonesAdv,NA
73696,câmara,ANGELA AMIN,ANGELA REGINA HEINZEN AMIN HELOU,PP,SC,angelaamin11,NA
160553,câmara,ANTONIO BRITO,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,antoniobritoba,https://www.facebook.com/britoantoniobahia
73433,câmara,ARLINDO CHINAGLIA,ARLINDO CHIGNALIA JUNIOR,PT,SP,achinaglia,https://www.facebook.com/depchinaglia
141391,câmara,ARNALDO JARDIM,ARNALDO CALIL PEREIRA JARDIM,PPS,SP,ArnaldoJardim,https://www.facebook.com/deputadoarnaldojardim
204414,câmara,AROLDO MARTINS,JOSE AROLDO SOUZA MARTINS,PRB,PR,aroldomartins,NA
160541,câmara,ARTHUR LIRA,ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,DEPArthurLira,https://www.facebook.com/arthurliradeputadofederal
160600,câmara,ARTHUR OLIVEIRA MAIA,ARTHUR DE OLIVEIRA MAIA DA SILVA,DEM,BA,departhurmaia,https://www.facebook.com/arthur.oliveiramaia
159237,câmara,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONÇALVES,PT,PI,assis_carvalho,https://www.facebook.com/assiscarvalho.pt
74090,câmara,ÁTILA LINS,ÁTILA SIDNEY LINS ALBUQUERQUE,PP,AM,NA,https://www.facebook.com/Deputado-%C3%81tila-Lins-329607960409077
74459,câmara,ÁTILA LIRA,ÁTILA FREITAS LIRA,PSB,PI,deputadoatila,https://www.facebook.com/atilafreitaslira
74459,câmara,ÁTILA LIRA,ÁTILA FREITAS LIRA,PSB,PI,deputadoatila,https://www.facebook.com/atilafreitaslira
160665,câmara,AUGUSTO COUTINHO,AUGUSTO RODRIGUES COUTINHO DE MELO,SOLIDARIEDADE,PE,augustocmelo ‏,https://www.facebook.com/augusto.coutinho
160665,câmara,AUGUSTO COUTINHO,AUGUSTO RODRIGUES COUTINHO DE MELO,SOLIDARIEDADE,PE,augustocmelo ‏,https://www.facebook.com/augusto.coutinho
204509,câmara,ÁUREA CAROLINA,ÁUREA CAROLINA DE FREITAS E SILVA,PSOL,MG,aureacarolinax,NA
160512,câmara,AUREO RIBEIRO,AUREO LIDIO MOREIRA RIBEIRO,SOLIDARIEDADE,RJ,DeputadoAureo,https://www.facebook.com/aureodeputado
69871,câmara,BACELAR,JOAO CARLOS BACELAR BATISTA,PODE,BA,DeputadoBacelar,https://www.facebook.com/bacelaroficial
178975,câmara,BALEIA ROSSI,LUIZ FELIPE BALEIA TENUTO ROSSI,MDB,SP,baleia_rossi,https://www.facebook.com/BaleiaRossi
73701,câmara,BENEDITA DA SILVA,BENEDITA SOUZA DA SILVA SAMPAIO,PT,RJ,dasilvabenedita ‏,https://www.facebook.com/blogdabenedita
73701,câmara,BENEDITA DA SILVA,BENEDITA SOUZA DA SILVA SAMPAIO,PT,RJ,dasilvabenedita ‏,https://www.facebook.com/blogdabenedita
109429,câmara,BENES LEOCÁDIO,LUIZ BENES LEOCADIO DE ARAUJO,PRB,RN,NA,https://www.facebook.com/BenesLeocadioRN/
141335,câmara,BETO FARO,JOSÉ ROBERTO OLIVEIRA FARO,PT,PA,BetoFaroPT ‏,https://www.facebook.com/beto.faro.5
141335,câmara,BETO FARO,JOSÉ ROBERTO OLIVEIRA FARO,PT,PA,BetoFaroPT ‏,https://www.facebook.com/beto.faro.5
204358,câmara,BETO PEREIRA,HUMBERTO REZENDE PEREIRA,PSDB,MS,betopereirams,NA
178948,câmara,BETO ROSADO,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,PP,RN,betorosado,https://www.facebook.com/betorosado1111
